Age Gap,Education,Economic Similarity,Social Similarities,Cultural Similarities,Social Gap,Common Interests,Religion Compatibility,No of Children from Previous Marriage,Desire to Marry,Independency,Relationship with the Spouse Family,Trading in,Engagement Time,Love,Commitment,Mental Health,The Sense of Having Children,Previous Trading,Previous Marriage,The Proportion of Common Genes,Addiction,Loyalty,Height Ratio,Good Income,Self Confidence,Relation with Non-spouse Before Marriage,Spouse Confirmed by Family,Divorce in the Family of Grade 1,Start Socializing with the Opposite Sex Age ,Divorce Probability
0.111632623,1.915110513,10.99867822,76.45606478,47.84745991,50.31765649,88.09989759,83.73807497,4.402821592,22.86801911,1.269737689,73.2069488,79.26236044,5.424733619,70.47223386,76.1068333,70.24180419,86.13846074,39.43738698,2.766927488,21.03288196,3.134118773,49.64848047,30.82294796,94.49916407,45.96482442,2.032609571,1.719332182,2.262241519,24.35677175,2.76018979
3.355384155,2.95784178,82.1381202,48.65603133,30.18851661,54.11461162,57.0209712,98.40813339,4.367024409,40.33684333,1.65817903,91.66609149,63.76328704,4.371314791,60.8183935,70.94376601,80.02900206,60.66822699,26.25123097,1.308314405,41.25762723,2.067376719,75.22069875,68.26822053,41.10260457,65.38771493,1.053402173,1.456191855,9.795997659,19.66715246,1.962978994
6.527365042,2.772463429,26.3378256,59.35623764,10.34025171,76.59537718,80.59098527,41.74346233,1.197119967,45.94184507,1.766593895,17.92650088,65.03750059,6.514788165,52.60183236,96.09260636,80.38393834,28.22564823,7.228831756,4.203533091,23.91731867,3.59909492,22.55186569,59.13487365,23.0535774,84.27189713,8.268308417,7.095240644,9.986172963,15.52251712,2.858802802
5.203074931,1.729241619,66.95603339,5.472612211,1.003407298,55.0714345,99.71807771,70.49301148,3.392040674,2.924863179,1.065768729,17.03674916,32.49324907,1.701052538,80.60008618,64.42502161,63.75504679,45.34833891,30.31210137,2.117970212,46.05644004,1.549273855,99.17213571,40.98411741,43.40004034,96.08122853,5.852371373,6.570748774,5.099396269,34.66593333,1.404620695
6.864961839,4.370289532,76.24503491,26.7972336,93.29158051,73.73624145,52.89619908,11.72972886,2.373553452,89.85149212,1.103652274,81.65681042,82.31089807,9.012911816,72.73071835,73.94405329,61.696215,98.68879831,58.77774287,1.151556207,2.743992644,4.031738421,21.62947244,89.12238063,51.61550882,53.33082399,9.717223235,7.609151545,1.294295086,22.54576256,1.318818881
6.072415705,1.805129287,48.92965237,79.32571194,49.98083336,86.31503482,84.53860564,37.11710764,4.24094655,45.08374029,1.455919228,38.12058423,37.14540735,4.687884533,37.34356465,71.24098863,64.59291762,88.86390662,46.79077092,3.033611024,37.62221459,2.547223626,84.50858297,71.17455341,72.52236694,57.64233517,1.18374053,2.388009309,4.664717766,16.73969375,2.32951202
5.685769334,2.869597862,92.0971334,60.57220794,6.219348097,86.2748204,62.84962155,72.2126064,3.714855601,18.83097662,1.964204701,99.31373003,32.55912702,5.254654248,96.49772164,42.82466337,66.73165483,62.45645228,79.12665183,2.097366966,24.31465684,1.457116911,42.77816227,37.79961585,89.49657561,92.80127448,4.265406428,4.551449714,7.983002791,37.72551828,1.392520844
4.774204112,2.734523323,82.47610108,25.61958302,92.48589153,3.646217549,81.47699785,44.53861583,3.887610067,95.08600948,1.628390098,72.85194942,49.70643536,4.418400726,60.34144618,54.76278576,66.45866394,38.10878617,2.661555942,4.36762894,30.66881898,2.074718812,57.68953815,67.57314376,8.368956968,73.54218801,7.46970269,9.033663591,2.649322949,37.05670803,2.488721939
9.326652337,3.443502929,80.08361503,68.88592083,34.20208249,83.37049095,52.30668708,34.29428712,1.334630255,66.0519193,1.320123667,63.6065663,69.79433598,8.367648597,36.09276665,52.23005658,88.33661522,93.0061557,29.05479198,2.63624275,35.17773989,2.379468643,37.62866136,11.57086639,50.19283493,55.47185591,9.360913037,2.234592518,9.149148306,15.22445538,2.949695927
9.279701847,4.482893306,57.08713923,95.61010929,50.25176021,10.05851966,55.68284989,90.18007712,3.89955736,45.53259274,1.796383901,62.91259856,60.94514263,8.161606107,42.49170398,75.81446359,69.30877087,93.6974074,2.998063973,1.20038455,8.23233314,2.814629423,25.3077319,36.57805891,71.78796553,65.23156545,2.260761513,5.028303117,3.156255098,17.60890723,1.248016901
